region,price,construction_area,saleable_area
葵涌,售 680 萬,建築面積 : --,實用面積: 570呎@11930
大埔,"售 1,450 萬",建築面積 : --,實用面積: 833呎@17407
大埔,售 778 萬,建築面積 : 774呎@10052,實用面積: 597呎@13032
東涌,售 555 萬,建築面積 : --,實用面積: 378呎@14683
馬鞍山,"售 1,050 萬",建築面積 : 977呎@10747,實用面積: 788呎@13325
東涌,售 818 萬,建築面積 : 834呎@9808,實用面積: 638呎@12821
馬鞍山,"售 1,299 萬",建築面積 : --,實用面積: 811呎@16017
將軍澳,"售 1,100 萬",建築面積 : --,實用面積: 757呎@14531
東涌,售 835 萬,建築面積 : --,實用面積: 756呎@11045
葵涌,售 598 萬,建築面積 : --,實用面積: 447呎@13378
觀塘,售 58 萬,建築面積 : 77呎@7532,實用面積: --
元朗,售 548 萬,建築面積 : 1480呎@3702,實用面積: --
元朗,售 318 萬,建築面積 : 800呎@3975,實用面積: --
東涌,售 550 萬,建築面積 : --,實用面積: 379呎@14512
葵涌,售 448 萬,建築面積 : 414呎@10821,實用面積: 326呎@13742
銅鑼灣,售 798 萬,建築面積 : 587呎@13595,實用面積: --
西營盤,售 688 萬,建築面積 : --,實用面積: 344呎@20000
美孚,"售 2,580 萬",建築面積 : --,實用面積: 2596呎@9938
西半山,"售 1,030 萬",建築面積 : --,實用面積: 447呎@23043
藍田,售 698 萬,建築面積 : --,實用面積: 517呎@13501
元朗,售 680 萬,建築面積 : 999呎@6807,實用面積: 764呎@8901
火炭,"售 1,001 萬",建築面積 : 822呎@12178,實用面積: 676呎@14808
馬鞍山,"售 1,050 萬",建築面積 : 977呎@10747,實用面積: 788呎@13325
灣仔,售 650 萬,建築面積 : 500呎@13000,實用面積: 368呎@17663
屯門,售 438 萬,建築面積 : 531呎@8249,實用面積: 396呎@11061
美孚,售 597 萬,建築面積 : 621呎@9614,實用面積: 459呎@13007
屯門,售 506 萬,建築面積 : --,實用面積: 483呎@10476
沙田,售 830 萬,建築面積 : 549呎@15118,實用面積: 419呎@19809
沙田,售 628 萬,建築面積 : 480呎@13083,實用面積: 393呎@15980
觀塘,售 472 萬,建築面積 : 513呎@9200,實用面積: --
馬鞍山,售 620 萬,建築面積 : 891呎@6958,實用面積: 647呎@9583
九龍灣,售 730 萬,建築面積 : 562呎@12989,實用面積: 494呎@14777
將軍澳,"售 1,080 萬",建築面積 : --,實用面積: 700呎@15429
火炭,"售 1,298 萬",建築面積 : --,實用面積: 768呎@16901
天水圍,售 520 萬,建築面積 : 708呎@7344,實用面積: 548呎@9489
荔枝角,售 840 萬,建築面積 : --,實用面積: 477呎@17610
天水圍,售 460 萬,建築面積 : --,實用面積: 441呎@10431
大圍,"售 1,470 萬",建築面積 : 1273呎@11547,實用面積: 958呎@15344
元朗,"售 1,088 萬",建築面積 : 2100呎@5180,實用面積: --
東涌,售 540 萬,建築面積 : --,實用面積: 381呎@14173
荔枝角,售 828 萬,建築面積 : --,實用面積: 490呎@16898
西貢,"售 1,380 萬",建築面積 : 1180呎@11694,實用面積: 1031呎@13385
荔枝角,售 878 萬,建築面積 : --,實用面積: 494呎@17773
天水圍,售 648 萬,建築面積 : 815呎@7950,實用面積: 651呎@9954
美孚,售 838 萬,建築面積 : 855呎@9801,實用面積: 638呎@13135
沙田,售 510 萬,建築面積 : 735呎@6938,實用面積: 516呎@9884
東涌,售 838 萬,建築面積 : 1025呎@8175,實用面積: 756呎@11085
馬鞍山,售 968 萬,建築面積 : 914呎@10590,實用面積: 694呎@13948
大埔,售 545 萬,建築面積 : 478呎@11402,實用面積: 355呎@15352
將軍澳,售 718 萬,建築面積 : 505呎@14217,實用面積: 364呎@19725
東涌,售 820 萬,建築面積 : 1013呎@8095,實用面積: 748呎@10963
美孚,售 798 萬,建築面積 : 710呎@11239,實用面積: 533呎@14972
屯門,售 540 萬,建築面積 : --,實用面積: 540呎@10000
屯門,售 499 萬,建築面積 : --,實用面積: 512呎@9746
元朗,售 400 萬,建築面積 : 780呎@5128,實用面積: --
荔枝角,售 955 萬,建築面積 : 759呎@12582,實用面積: 554呎@17238
馬鞍山,售 995 萬,建築面積 : 906呎@10982,實用面積: 690呎@14420
荃灣,售 836 萬,建築面積 : --,實用面積: 421呎@19857
屯門,售 538 萬,建築面積 : --,實用面積: 540呎@9963
將軍澳,售 855 萬,建築面積 : 915呎@9344,實用面積: 694呎@12320
屯門,售 370 萬,建築面積 : 583呎@6346,實用面積: 447呎@8277
天水圍,售 545 萬,建築面積 : 708呎@7698,實用面積: 548呎@9945
天水圍,售 480 萬,建築面積 : 584呎@8219,實用面積: 441呎@10884
東涌,售 780 萬,建築面積 : 539呎@14471,實用面積: --
火炭,售 603 萬,建築面積 : --,實用面積: 498呎@12108
火炭,售 900 萬,建築面積 : 1094呎@8227,實用面積: 660呎@13636
沙田,售 710 萬,建築面積 : 825呎@8606,實用面積: 650呎@10923
東涌,售 790 萬,建築面積 : --,實用面積: 636呎@12421
馬鞍山,"售 2,400 萬",建築面積 : --,實用面積: 1237呎@19402
長沙灣,售 525 萬,建築面積 : --,實用面積: 357呎@14706
火炭,售 678 萬,建築面積 : 623呎@10883,實用面積: 498呎@13614
青衣,售 920 萬,建築面積 : 690呎@13333,實用面積: 498呎@18474
沙田,售 530 萬,建築面積 : 735呎@7210,實用面積: 516呎@10271
沙田,"售 1,060 萬",建築面積 : --,實用面積: 640呎@16563
屯門,售 620 萬,建築面積 : 830呎@7470,實用面積: 575呎@10783
大埔,售 950 萬,建築面積 : --,實用面積: 736呎@12908
將軍澳,售 800 萬,建築面積 : --,實用面積: 437呎@18307
荔枝角,售 650 萬,建築面積 : 502呎@12948,實用面積: --
西半山,"售 1,360 萬",建築面積 : 969呎@14035,實用面積: 711呎@19128
東涌,售 890 萬,建築面積 : 1258呎@7074,實用面積: 957呎@9300
元朗,售 460 萬,建築面積 : --,實用面積: 700呎@6571
屯門,售 400 萬,建築面積 : 500呎@8000,實用面積: 394呎@10152
將軍澳,售 715 萬,建築面積 : --,實用面積: 512呎@13965
鰂魚涌,"售 1,100 萬",建築面積 : 1350呎@8148,實用面積: 1184呎@9291
東涌,"售 1,100 萬",建築面積 : --,實用面積: 1035呎@10628
元朗,售 298 萬,建築面積 : 470呎@6340,實用面積: --
長沙灣,售 610 萬,建築面積 : 564呎@10815,實用面積: 410呎@14878
深水埗,售 928 萬,建築面積 : --,實用面積: 601呎@15441
青衣,售 660 萬,建築面積 : 610呎@10819,實用面積: 462呎@14286
馬鞍山,售 710 萬,建築面積 : 606呎@11716,實用面積: 452呎@15708
馬鞍山,售 480 萬,建築面積 : 593呎@8094,實用面積: 431呎@11137
將軍澳,售 628 萬,建築面積 : --,實用面積: 340呎@18471
東涌,售 900 萬,建築面積 : 1090呎@8256,實用面積: 813呎@11070
元朗,售 498 萬,建築面積 : 700呎@7114,實用面積: 650呎@7662
荔枝角,售 200 萬,建築面積 : 280呎@7142,實用面積: --
沙田,"售 1,000 萬",建築面積 : 975呎@10256,實用面積: 755呎@13245
馬鞍山,售 870 萬,建築面積 : 862呎@10093,實用面積: 653呎@13323
將軍澳,"售 1,670 萬",建築面積 : --,實用面積: 897呎@18618
大埔,售 540 萬,建築面積 : 700呎@7714,實用面積: --
元朗,售 488 萬,建築面積 : 700呎@6971,實用面積: --
馬鞍山,售 830 萬,建築面積 : 807呎@10285,實用面積: 650呎@12769
馬鞍山,售 880 萬,建築面積 : 897呎@9810,實用面積: 696呎@12644
大埔,售 850 萬,建築面積 : 910呎@9341,實用面積: 725呎@11724
馬鞍山,售 398 萬,建築面積 : 707呎@5629,實用面積: 544呎@7316
元朗,售 378 萬,建築面積 : 780呎@4846,實用面積: --
元朗,售 880 萬,建築面積 : 1400呎@6285,實用面積: 1400呎@6286
東涌,售 838 萬,建築面積 : 1025呎@8176,實用面積: 756呎@11085
東涌,售 775 萬,建築面積 : 735呎@10544,實用面積: 539呎@14378
元朗,售 668 萬,建築面積 : 1300呎@5138,實用面積: 1300呎@5138
屯門,售 568 萬,建築面積 : 700呎@8114,實用面積: --
元朗,售 380 萬,建築面積 : 700呎@5428,實用面積: --
馬鞍山,售 780 萬,建築面積 : --,實用面積: 511呎@15264
馬鞍山,"售 1,280 萬",建築面積 : 1078呎@11873,實用面積: 819呎@15629
柴灣,售 730 萬,建築面積 : 747呎@9772,實用面積: 646呎@11300
元朗,"售 1,080 萬",建築面積 : 1400呎@7714,實用面積: 1400呎@7714
元朗,售 890 萬,建築面積 : 1400呎@6357,實用面積: 1400呎@6357
元朗,售 988 萬,建築面積 : 1400呎@7057,實用面積: 1400呎@7057
荔枝角,"售 1,325 萬",建築面積 : 928呎@14278,實用面積: 685呎@19343
荔枝角,"售 1,130 萬",建築面積 : 759呎@14888,實用面積: 554呎@20397
奧運,"售 1,130 萬",建築面積 : 702呎@16096,實用面積: 541呎@20887
將軍澳,售 785 萬,建築面積 : --,實用面積: 473呎@16596
深井(荃灣),售 740 萬,建築面積 : 670呎@11045,實用面積: 519呎@14258
旺角,售 590 萬,建築面積 : --,實用面積: 325呎@18154
馬灣,售 598 萬,建築面積 : 653呎@9157,實用面積: 490呎@12204
馬鞍山,售 770 萬,建築面積 : --,實用面積: 511呎@15068
火炭,售 628 萬,建築面積 : 623呎@10080,實用面積: 498呎@12610
火炭,售 605 萬,建築面積 : 623呎@9711,實用面積: 498呎@12149
元朗,售 668 萬,建築面積 : 1300呎@5138,實用面積: --
沙田,售 730 萬,建築面積 : --,實用面積: 417呎@17506
沙田,售 530 萬,建築面積 : --,實用面積: 516呎@10271
荃灣,售 968 萬,建築面積 : --,實用面積: 524呎@18473
元朗,售 278 萬,建築面積 : --,實用面積: 700呎@3971
深水埗,售 928 萬,建築面積 : --,實用面積: 601呎@15441
元朗,售 468 萬,建築面積 : 1480呎@3162,實用面積: --
沙田,售 570 萬,建築面積 : 410呎@13902,實用面積: 304呎@18750
元朗,售 469 萬,建築面積 : 1480呎@3168,實用面積: --
元朗,售 398 萬,建築面積 : 700呎@5685,實用面積: --
沙田,售 945 萬,建築面積 : --,實用面積: 725呎@13034
牛池灣,售 490 萬,建築面積 : 721呎@6796,實用面積: 535呎@9159
元朗,售 740 萬,建築面積 : 876呎@8447,實用面積: 656呎@11280
元朗,售 680 萬,建築面積 : --,實用面積: 422呎@16114
元朗,售 186 萬,建築面積 : 300呎@6200,實用面積: --
奧運,"售 1,570 萬",建築面積 : 906呎@17328,實用面積: 671呎@23398
馬鞍山,售 625 萬,建築面積 : 501呎@12475,實用面積: 380呎@16447
元朗,售 308 萬,建築面積 : 320呎@9625,實用面積: --
天水圍,售 555 萬,建築面積 : 704呎@7884,實用面積: 550呎@10091
荃灣,售 965 萬,建築面積 : --,實用面積: 687呎@14047
荃灣,售 723 萬,建築面積 : 608呎@11891,實用面積: 450呎@16067
荃灣,售 600 萬,建築面積 : --,實用面積: 318呎@18868
元朗,售 548 萬,建築面積 : 700呎@7828,實用面積: 700呎@7829
沙田,售 740 萬,建築面積 : 808呎@9158,實用面積: 560呎@13214
沙田,售 728 萬,建築面積 : 825呎@8824,實用面積: 650呎@11200
堅尼地城,售 530 萬,建築面積 : --,實用面積: 265呎@20000
馬鞍山,"售 1,100 萬",建築面積 : --,實用面積: 746呎@14745
元朗,售 408 萬,建築面積 : 700呎@5828,實用面積: 700呎@5829
元朗,售 538 萬,建築面積 : 700呎@7685,實用面積: 700呎@7686
沙田,售 730 萬,建築面積 : 549呎@13297,實用面積: 414呎@17633
灣仔,售 699 萬,建築面積 : --,實用面積: 357呎@19580
將軍澳,售 900 萬,建築面積 : --,實用面積: 733呎@12278
元朗,售 418 萬,建築面積 : 700呎@5971,實用面積: 700呎@5971
東涌,"售 1,180 萬",建築面積 : --,實用面積: 1036呎@11390
元朗,售 448 萬,建築面積 : 650呎@6892,實用面積: --
大圍,"售 1,299 萬",建築面積 : 1030呎@12611,實用面積: 784呎@16569
元朗,售 448 萬,建築面積 : 700呎@6400,實用面積: --
將軍澳,"售 1,228 萬",建築面積 : --,實用面積: 953呎@12886
元朗,售 488 萬,建築面積 : 1480呎@3297,實用面積: --
馬鞍山,"售 2,300 萬",建築面積 : 2052呎@11209,實用面積: 1564呎@14706
馬鞍山,"售 2,270 萬",建築面積 : --,實用面積: 1379呎@16461
馬灣,售 629 萬,建築面積 : 653呎@9632,實用面積: 490呎@12837
天水圍,售 532 萬,建築面積 : 709呎@7504,實用面積: 547呎@9726
元朗,售 630 萬,建築面積 : 700呎@9000,實用面積: 700呎@9000
元朗,售 418 萬,建築面積 : 700呎@5971,實用面積: 700呎@5971
元朗,售 568 萬,建築面積 : 700呎@8114,實用面積: 650呎@8738
荔枝角,售 930 萬,建築面積 : 1093呎@8508,實用面積: --
西貢,"售 1,700 萬",建築面積 : --,實用面積: 1282呎@13261
屯門,售 628 萬,建築面積 : --,實用面積: 463呎@13564
馬鞍山,售 550 萬,建築面積 : --,實用面積: 647呎@8501
沙田,售 700 萬,建築面積 : 826呎@8474,實用面積: 650呎@10769
沙田,售 730 萬,建築面積 : 549呎@13296,實用面積: 414呎@17633
馬鞍山,售 800 萬,建築面積 : --,實用面積: 512呎@15625
東涌,售 838 萬,建築面積 : 986呎@8499,實用面積: 729呎@11495
葵涌,售 496 萬,建築面積 : 710呎@6986,實用面積: 554呎@8953
元朗,售 785 萬,建築面積 : --,實用面積: 499呎@15731
深水埗,售 385 萬,建築面積 : --,實用面積: 214呎@17991
啟德,售 990 萬,建築面積 : --,實用面積: 438呎@22603
美孚,售 598 萬,建築面積 : 551呎@10852,實用面積: 413呎@14479
大圍,"售 1,138 萬",建築面積 : 901呎@12630,實用面積: 677呎@16809
藍田,售 800 萬,建築面積 : 669呎@11958,實用面積: 522呎@15326
深井(荃灣),"售 3,480 萬",建築面積 : 3772呎@9226,實用面積: 2762呎@12600
美孚,售 999 萬,建築面積 : --,實用面積: 558呎@17903
沙田,售 688 萬,建築面積 : --,實用面積: 467呎@14732
馬灣,售 998 萬,建築面積 : 997呎@10010,實用面積: 762呎@13097
奧運,"售 1,080 萬",建築面積 : --,實用面積: 559呎@19320
奧運,"售 1,000 萬",建築面積 : --,實用面積: 564呎@17730
屯門,售 400 萬,建築面積 : 467呎@8565,實用面積: 325呎@12308
大圍,"售 1,068 萬",建築面積 : 901呎@11853,實用面積: 677呎@15775
將軍澳,售 980 萬,建築面積 : --,實用面積: 538呎@18216
將軍澳,"售 1,095 萬",建築面積 : --,實用面積: 693呎@15801
馬鞍山,售 830 萬,建築面積 : 807呎@10285,實用面積: 650呎@12769
大埔,售 788 萬,建築面積 : 665呎@11850,實用面積: 522呎@15096
天水圍,售 550 萬,建築面積 : --,實用面積: 493呎@11156
深水埗,售 338 萬,建築面積 : --,實用面積: 272呎@12426
東涌,售 600 萬,建築面積 : 716呎@8380,實用面積: 518呎@11583
東涌,售 628 萬,建築面積 : 657呎@9559,實用面積: 494呎@12713
將軍澳,售 600 萬,建築面積 : 551呎@10889,實用面積: 495呎@12121
將軍澳,售 730 萬,建築面積 : 656呎@11128,實用面積: 502呎@14542
荃灣,售 870 萬,建築面積 : --,實用面積: 429呎@20280
鰂魚涌,售 890 萬,建築面積 : 648呎@13735,實用面積: 531呎@16761
沙田,售 698 萬,建築面積 : 944呎@7394,實用面積: 663呎@10528
九龍站,"售 3,600 萬",建築面積 : 1457呎@24708,實用面積: 1049呎@34318
上水,"售 1,200 萬",建築面積 : 1378呎@8708,實用面積: 1079呎@11121
屯門,售 608 萬,建築面積 : --,實用面積: 482呎@12614
火炭,"售 1,338 萬",建築面積 : 1127呎@11872,實用面積: 974呎@13737
石硤尾,"售 6,200 萬",建築面積 : 2652呎@23379,實用面積: 2032呎@30512
大埔,售 790 萬,建築面積 : --,實用面積: 624呎@12660
東涌,售 640 萬,建築面積 : --,實用面積: 483呎@13251
大埔,"售 1,280 萬",建築面積 : 1095呎@11689,實用面積: 922呎@13883
屯門,售 638 萬,建築面積 : --,實用面積: 482呎@13237
將軍澳,售 779 萬,建築面積 : --,實用面積: 510呎@15271
馬灣,售 630 萬,建築面積 : 653呎@9648,實用面積: 490呎@12857
元朗,售 220 萬,建築面積 : --,實用面積: 350呎@6286
大埔,售 608 萬,建築面積 : 700呎@8685,實用面積: --
沙田,售 728 萬,建築面積 : 826呎@8813,實用面積: 650呎@11200
九龍灣,售 730 萬,建築面積 : 578呎@12629,實用面積: 517呎@14120
屯門,售 618 萬,建築面積 : --,實用面積: 372呎@16613
荃灣,售 836 萬,建築面積 : --,實用面積: 421呎@19857
荃灣,售 740 萬,建築面積 : 608呎@12171,實用面積: 450呎@16444
荃灣,"售 1,000 萬",建築面積 : --,實用面積: 513呎@19493
荃灣,"售 1,000 萬",建築面積 : --,實用面積: 512呎@19531
鑽石山,售 570 萬,建築面積 : --,實用面積: 383呎@14883
牛池灣,售 418 萬,建築面積 : 583呎@7170,實用面積: 433呎@9654
元朗,售 488 萬,建築面積 : 1400呎@3485,實用面積: --
元朗,售 408 萬,建築面積 : 780呎@5231,實用面積: --
元朗,售 378 萬,建築面積 : 700呎@5400,實用面積: --
九龍灣,售 470 萬,建築面積 : 334呎@14071,實用面積: 254呎@18504
屯門,售 580 萬,建築面積 : 811呎@7151,實用面積: 588呎@9864
黃埔,售 998 萬,建築面積 : 692呎@14421,實用面積: 614呎@16254
荔枝角,"售 1,130 萬",建築面積 : 759呎@14888,實用面積: 554呎@20397
青衣,售 778 萬,建築面積 : 619呎@12569,實用面積: 456呎@17061
屯門,售 638 萬,建築面積 : --,實用面積: 485呎@13155
九龍灣,售 588 萬,建築面積 : 480呎@12250,實用面積: 356呎@16517
九龍灣,售 410 萬,建築面積 : --,實用面積: 265呎@15472
深井(屯門),"售 2,200 萬",建築面積 : 1777呎@12380,實用面積: 1389呎@15839
深井(屯門),"售 1,580 萬",建築面積 : 1208呎@13079,實用面積: 953呎@16579
鰂魚涌,"售 1,198 萬",建築面積 : 989呎@12113,實用面積: 862呎@13898
荃灣,售 49 萬,建築面積 : 113呎@4319,實用面積: --
屯門,售 348 萬,建築面積 : 485呎@7175,實用面積: 361呎@9640
屯門,售 348 萬,建築面積 : 432呎@8056,實用面積: 325呎@10708
大圍,"售 1,170 萬",建築面積 : 901呎@12986,實用面積: 677呎@17282
跑馬地,"售 4,000 萬",建築面積 : 1649呎@24257,實用面積: 1334呎@29985
美孚,售 765 萬,建築面積 : 676呎@11316,實用面積: 511呎@14971
沙田,售 698 萬,建築面積 : --,實用面積: 650呎@10738
大埔,"售 1,058 萬",建築面積 : --,實用面積: 1009呎@10486
元朗,售 488 萬,建築面積 : 700呎@6971,實用面積: --
馬鞍山,售 600 萬,建築面積 : 406呎@14778,實用面積: 321呎@18692
大埔,"售 1,080 萬",建築面積 : 1173呎@9207,實用面積: 1009呎@10704
馬鞍山,售 600 萬,建築面積 : 832呎@7212,實用面積: 604呎@9934
荔枝角,"售 1,325 萬",建築面積 : 928呎@14278,實用面積: 685呎@19343
荃灣,售 790 萬,建築面積 : --,實用面積: 482呎@16390
馬鞍山,售 638 萬,建築面積 : 451呎@14146,實用面積: 337呎@18932
深水埗,售 715 萬,建築面積 : --,實用面積: 418呎@17105
將軍澳,"售 1,148 萬",建築面積 : --,實用面積: 609呎@18851
大圍,售 850 萬,建築面積 : 686呎@12390,實用面積: 545呎@15596
清水灣,"售 1,080 萬",建築面積 : 1400呎@7714,實用面積: --
元朗,售 508 萬,建築面積 : 700呎@7257,實用面積: --
沙田,售 698 萬,建築面積 : 944呎@7394,實用面積: 663呎@10528
上水,售 968 萬,建築面積 : 1011呎@9575,實用面積: 791呎@12238
元朗,售 748 萬,建築面積 : 621呎@12045,實用面積: 475呎@15747
將軍澳,"售 1,000 萬",建築面積 : --,實用面積: 577呎@17331
大埔,售 550 萬,建築面積 : 700呎@7857,實用面積: --
沙田,售 825 萬,建築面積 : 718呎@11490,實用面積: 547呎@15082
將軍澳,售 838 萬,建築面積 : --,實用面積: 464呎@18060
屯門,售 800 萬,建築面積 : 857呎@9335,實用面積: 679呎@11782
元朗,"售 1,080 萬",建築面積 : --,實用面積: 930呎@11613
天水圍,售 485 萬,建築面積 : 578呎@8391,實用面積: 441呎@10998
九龍站,"售 5,750 萬",建築面積 : --,實用面積: 1088呎@52849
筲箕灣,售 420 萬,建築面積 : --,實用面積: 282呎@14894
元朗,售 628 萬,建築面積 : --,實用面積: 523呎@12008
美孚,售 875 萬,建築面積 : --,實用面積: 603呎@14511
沙田,售 698 萬,建築面積 : --,實用面積: 515呎@13553
九龍灣,售 420 萬,建築面積 : 336呎@12500,實用面積: 265呎@15849
火炭,售 698 萬,建築面積 : 644呎@10839,實用面積: 506呎@13794
大圍,"售 1,135 萬",建築面積 : 901呎@12597,實用面積: 677呎@16765
沙田,售 519 萬,建築面積 : 410呎@12659,實用面積: 304呎@17072
沙田,售 518 萬,建築面積 : 410呎@12634,實用面積: 304呎@17039
屯門,售 420 萬,建築面積 : 431呎@9744,實用面積: 325呎@12923
美孚,售 860 萬,建築面積 : 818呎@10513,實用面積: 614呎@14007
佐敦,售 598 萬,建築面積 : 746呎@8016,實用面積: 535呎@11178
鴨脷洲,售 690 萬,建築面積 : 561呎@12299,實用面積: 422呎@16351
元朗,售 428 萬,建築面積 : 700呎@6114,實用面積: --
馬鞍山,售 818 萬,建築面積 : 718呎@11393,實用面積: 549呎@14900
沙田,"售 1,230 萬",建築面積 : 980呎@12551,實用面積: 819呎@15018
深水埗,售 368 萬,建築面積 : --,實用面積: 207呎@17778
天水圍,售 538 萬,建築面積 : 705呎@7631,實用面積: 551呎@9764
深井(荃灣),售 848 萬,建築面積 : --,實用面積: 653呎@12986
柴灣,售 568 萬,建築面積 : 707呎@8033,實用面積: 592呎@9595
荃灣,售 590 萬,建築面積 : 629呎@9380,實用面積: 558呎@10573
東涌,售 580 萬,建築面積 : --,實用面積: 408呎@14216
沙田,售 510 萬,建築面積 : 395呎@12911,實用面積: 284呎@17958
荃灣,售 370 萬,建築面積 : 637呎@5808,實用面積: --
沙田,"售 2,080 萬",建築面積 : --,實用面積: 1507呎@13802
火炭,售 680 萬,建築面積 : 623呎@10915,實用面積: 498呎@13655
沙田,售 830 萬,建築面積 : 544呎@15257,實用面積: 451呎@18404
沙田,"售 1,278 萬",建築面積 : 947呎@13495,實用面積: 947呎@13495
美孚,售 680 萬,建築面積 : 635呎@10709,實用面積: 552呎@12319
青衣,"售 1,090 萬",建築面積 : --,實用面積: 670呎@16269
天水圍,售 468 萬,建築面積 : 581呎@8055,實用面積: 446呎@10493
大圍,"售 1,260 萬",建築面積 : 1030呎@12233,實用面積: 785呎@16051
深水埗,"售 1,222 萬",建築面積 : --,實用面積: 416呎@29375
大圍,"售 1,200 萬",建築面積 : 981呎@12232,實用面積: 741呎@16194
啟德,"售 2,800 萬",建築面積 : --,實用面積: 891呎@31425
啟德,售 795 萬,建築面積 : --,實用面積: 375呎@21200
啟德,售 680 萬,建築面積 : --,實用面積: 274呎@24818
啟德,"售 1,350 萬",建築面積 : --,實用面積: 569呎@23726
啟德,"售 1,100 萬",建築面積 : --,實用面積: 527呎@20873
沙田,售 828 萬,建築面積 : --,實用面積: 515呎@16078
屯門,售 348 萬,建築面積 : --,實用面積: 327呎@10642
深井(荃灣),"售 1,080 萬",建築面積 : 1051呎@10275,實用面積: 808呎@13366
葵涌,售 568 萬,建築面積 : 696呎@8161,實用面積: 559呎@10161
大圍,"售 1,230 萬",建築面積 : 981呎@12538,實用面積: 741呎@16599
馬鞍山,售 730 萬,建築面積 : 605呎@12066,實用面積: 490呎@14898
沙田,售 525 萬,建築面積 : 735呎@7143,實用面積: 516呎@10174
沙田,售 695 萬,建築面積 : 944呎@7362,實用面積: 663呎@10483
荃灣,"售 1,720 萬",建築面積 : --,實用面積: 850呎@20235
啟德,"售 1,850 萬",建築面積 : --,實用面積: 844呎@21919
啟德,售 800 萬,建築面積 : --,實用面積: 365呎@21918
啟德,"售 1,200 萬",建築面積 : --,實用面積: 521呎@23033
將軍澳,"售 1,100 萬",建築面積 : --,實用面積: 803呎@13699
將軍澳,售 850 萬,建築面積 : --,實用面積: 673呎@12630
大埔,售 777 萬,建築面積 : --,實用面積: 620呎@12532
紅磡,售 860 萬,建築面積 : --,實用面積: 453呎@18985
東涌,"售 1,200 萬",建築面積 : --,實用面積: 1034呎@11605
美孚,售 848 萬,建築面積 : 850呎@9976,實用面積: 638呎@13292
火炭,"售 1,238 萬",建築面積 : 1236呎@10016,實用面積: 1041呎@11892
